survey_id,building_name,office_spending_space,personal_workspace,in_out_office,work_building_name,window_distance,exterior_view,sky_view,Parking_view,other_buildings_view,trees_view,other_view,other_view_description,exterior_window_direction,building_floor,workspace_rating,thermal_condition,cool_rating,warm_rating,temperature_alter_ability,temperature_satisfaction,clothing_layers_need,outside_brake_need,temperature_fluctuations_day,temperature_fluctuations_season,fan_usage,leave_workspace,temperature_effect_productivity,afternoon_bright,computer_screen_glare,evening_dark,task_light_usage,unnecessary_lighting,lighting_effect_productivity,blinds_control,overhead_lighting_control,task_light_control,temperature_control,air_quality_control,other_control,no_control,hours_spend,work_time,work_type,work_building_tenure,workspace_tenure,age_range,gender
13956599,A,Personal workspace,Open Office: workspace in open office with no partitions,Yes,A,16 feet or more,Yes,,,Yes,,,,Facing west,1 to 4,1.0,1.0,2.0,4.0,1.0,1.0,Always,Rarely,Always,Always,Never,Always,4,Rarely,Rarely,,Never,Sometimes,3 = Neutral,,,,,,,Yes,More than 40 hours,All day,Typing,1 - 5 years,1 - 5 years,21 - 30,Male
13953638,A,Personal workspace,Enclosed Office: private,Yes,A,16 feet or more,No,,,Yes,,,,Facing north (or northeast or northwest),5 to 9,3.0,2.0,5.0,1.0,1.0,1.0,Always,Always,Sometimes,Sometimes,Never,Most of the time,2,Never,Never,Always,Always,Never,2,,Yes,,,,,,More than 40 hours,All day,Typing,1 - 5 years,1 - 5 years,31 - 40,Male
13954976,A,Personal workspace,Open Office: workspace in open office with no partitions,Yes,A,16 feet or more,Yes,,,Yes,,,,Facing west,1 to 4,4.0,4.0,2.0,4.0,1.0,4.0,Rarely,Never,Rarely,Most of the time,Never,Never,3 = Neutral,Rarely,Never,Never,Never,Most of the time,3 = Neutral,,,,,,,Yes,More than 40 hours,All day,Typing,1 - 5 years,1 - 5 years,31 - 40,Male
13955483,A,Personal workspace,Enclosed Office: shared with other people,Yes,A,0 - 5 feet,Yes,Yes,Yes,Yes,,,,Facing south (or southeast or southwest),10 or above,4.0,4.0,3.0,3.0,0.0,4.0,Rarely,Never,Sometimes,Sometimes,Sometimes,Rarely,3 = Neutral,Rarely,Rarely,Sometimes,Never,Rarely,3 = Neutral,,Yes,,,,,,More than 40 hours,All day,Typing,Less than 1 year,Less than 1 year,31 - 40,Female
13957165,A,Personal workspace,Open Office: workspace in open office with no partitions,Yes,A,16 feet or more,Yes,Yes,Yes,Yes,,,,I don’t know,5 to 9,4.0,4.0,3.0,2.0,1.0,4.0,Rarely,Rarely,Sometimes,Sometimes,Never,Rarely,5 = Greatly increases my productivity,Never,Never,Always,Never,Never,4,,,,,,,Yes,More than 40 hours,All day,Writing,1 - 5 years,Less than 1 year,21 - 30,Male
13957878,A,Personal workspace,Open Office: cubicles with low partitions (lower than 5 feet),Yes,A,16 feet or more,No,,,Yes,,Yes,New construction and parking lots,I don’t know,,3.0,1.0,1.0,5.0,5.0,1.0,Sometimes,Sometimes,Always,Always,Always,Sometimes,3 = Neutral,Never,Never,Never,Never,Never,3 = Neutral,,,,,,,Yes,10 - 20 hours,All day,Typing,1 - 5 years,1 - 5 years,I prefer not to answer,Female
13953969,A,Personal workspace,Open Office: workspace in open office with no partitions,Yes,A,16 feet or more,Yes,Yes,,Yes,,,,Facing north (or northeast or northwest),5 to 9,4.0,2.0,5.0,1.0,3.0,3.0,Always,Most of the time,Rarely,,Never,Sometimes,3 = Neutral,Never,Never,Rarely,Never,Rarely,3 = Neutral,,,,,,,Yes,More than 40 hours,Mixed (some combination of morning/afternoon/evenings),Typing,Less than 1 year,Less than 1 year,21 - 30,Female
13954069,A,Personal workspace,Enclosed Office: private,No,A,16 feet or more,Yes,Yes,,Yes,,,,Facing north (or northeast or northwest),10 or above,5.0,2.0,1.0,4.0,0.0,2.0,Never,Rarely,Rarely,Rarely,Sometimes,Sometimes,3 = Neutral,Rarely,Never,Sometimes,Always,Never,3 = Neutral,,Yes,Yes,,,,,21 - 40 hours,All day,Typing,5+ years,Less than 1 year,41 - 50,Female
13955058,A,Personal workspace,Open Office: cubicles with low partitions (lower than 5 feet),Yes,A,6 - 10 feet,Yes,,,Yes,,,,Facing east,,3.0,2.0,2.0,5.0,1.0,2.0,Rarely,Sometimes,Sometimes,Most of the time,Never,Sometimes,2,Most of the time,Sometimes,Rarely,Never,Never,2,,,,,,,Yes,21 - 40 hours,All day,Typing,1 - 5 years,Less than 1 year,51 or above,Male
13956989,A,Personal workspace,Open Office: workspace in open office with no partitions,Yes,A,11 - 15 feet,Yes,Yes,,Yes,,,,Facing south (or southeast or southwest),1 to 4,5.0,3.0,1.0,4.0,1.0,3.0,Never,Never,Most of the time,Sometimes,Never,Never,2,Never,Never,Rarely,Never,Never,3 = Neutral,,,,,,,Yes,More than 40 hours,All day,"Reading, seated",1 - 5 years,1 - 5 years,41 - 50,Male
13957189,A,Personal workspace,Open Office: workspace in open office with no partitions,Yes,A,16 feet or more,No,Yes,,Yes,,,,Facing west,,3.0,2.0,5.0,2.0,1.0,2.0,Sometimes,Sometimes,Most of the time,Always,Never,Sometimes,2,Rarely,Sometimes,Never,Never,Sometimes,2,,,,,,,Yes,More than 40 hours,All day,Typing,1 - 5 years,Less than 1 year,51 or above,Male
13954283,A,Personal workspace,Open Office: cubicles with high partitions (5 feet or higher),No,A,0 - 5 feet,Yes,Yes,,Yes,,,,Facing west,10 or above,3.0,4.0,3.0,3.0,0.0,3.0,Sometimes,Rarely,Sometimes,Sometimes,Never,Never,3 = Neutral,Rarely,Sometimes,Sometimes,Never,Never,3 = Neutral,Yes,,,,,,,More than 40 hours,All day,"Reading, seated",1 - 5 years,Less than 1 year,31 - 40,Male
13954827,A,Personal workspace,Open Office: cubicles with high partitions (5 feet or higher),Yes,A,0 - 5 feet,Yes,Yes,Yes,Yes,,,,Facing north (or northeast or northwest),5 to 9,5.0,2.0,2.0,3.0,,4.0,Never,Never,Rarely,Rarely,Never,Never,3 = Neutral,Rarely,Rarely,Rarely,Never,Never,3 = Neutral,Yes,,,,,,,21 - 40 hours,All day,Typing,1 - 5 years,1 - 5 years,31 - 40,Male
13954919,A,Personal workspace,Open Office: workspace in open office with no partitions,No,A,0 - 5 feet,Yes,Yes,,Yes,,,,Facing north (or northeast or northwest),5 to 9,4.0,3.0,2.0,4.0,2.0,,Sometimes,Never,Sometimes,Most of the time,Never,Never,3 = Neutral,Sometimes,Sometimes,Never,Never,Sometimes,3 = Neutral,Yes,Yes,,,,,,More than 40 hours,Mixed (some combination of morning/afternoon/evenings),Typing,1 - 5 years,1 - 5 years,31 - 40,Male
13956131,A,Outside,Open Office: cubicles with high partitions (5 feet or higher),No,A,6 - 10 feet,Yes,Yes,,,,,,I don’t know,10 or above,4.0,3.0,5.0,3.0,1.0,,Always,Most of the time,Most of the time,Most of the time,Never,Sometimes,2,Most of the time,Most of the time,Rarely,Never,Never,4,,,,,,,Yes,21 - 40 hours,All day,"Reading, seated",1 - 5 years,1 - 5 years,31 - 40,Female
13956628,A,Outside,Open Office: cubicles with low partitions (lower than 5 feet),Yes,A,11 - 15 feet,Yes,Yes,Yes,Yes,,,,Facing north (or northeast or northwest),10 or above,4.0,2.0,5.0,1.0,1.0,2.0,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Most of the time,2,Never,Most of the time,Rarely,Never,Rarely,3 = Neutral,,,,,,,Yes,21 - 40 hours,All day,Typing,5+ years,1 - 5 years,51 or above,Female
13957759,A,Personal workspace,Open Office: cubicles with low partitions (lower than 5 feet),Yes,A,16 feet or more,Yes,Yes,Yes,Yes,,,,I don’t know,10 or above,4.0,3.0,3.0,3.0,2.0,,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,2,Rarely,Rarely,Sometimes,Sometimes,Never,3 = Neutral,,,,,,,Yes,21 - 40 hours,All day,"Reading, seated",1 - 5 years,Less than 1 year,41 - 50,Female
13953980,A,Personal workspace,Open Office: cubicles with low partitions (lower than 5 feet),Yes,A,0 - 5 feet,Yes,,,Yes,,,,Facing north (or northeast or northwest),10 or above,2.0,3.0,3.0,3.0,2.0,2.0,Most of the time,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,3 = Neutral,Sometimes,Rarely,Rarely,Never,Never,3 = Neutral,Yes,,,,,,,More than 40 hours,All day,Typing,Less than 1 year,Less than 1 year,31 - 40,Female
