survey_id,building_name,office_spending_space,personal_workspace,in_out_office,window_distance,exterior_view,sky_view,Parking_view,other_buildings_view,trees_view,other_view,exterior_window_direction,building_floor,workspace_rating,thermal_condition,cool_rating,warm_rating,temperature_alter_ability,temperature_satisfaction,clothing_layers_need,outside_brake_need,temperature_fluctuations_day,temperature_fluctuations_season,fan_usage,leave_workspace,temperature_effect_productivity,blinds_control,overhead_lighting_control,task_light_control,temperature_control,air_quality_control,other_control,no_control,hours_spend,work_time,work_type,work_building_tenure,workspace_tenure,age_range,gender
13956599,A,Personal workspace,Open Office_1,Yes,4,Yes,No,No,Yes,No,No,Facing west,1 to 4,1,1,2,4,1,1,5,2,5,5,1,5,4,No,No,No,No,No,No,Yes,4,All day,Typing,2,2,2,Male
13953638,A,Personal workspace,Enclosed Office_1,Yes,4,No,No,No,Yes,No,No,Facing north (or northeast or northwest),5 to 9,3,2,5,1,1,1,5,5,3,3,1,4,2,No,Yes,No,No,No,No,No,4,All day,Typing,2,2,3,Male
13954976,A,Personal workspace,Open Office_1,Yes,4,Yes,No,No,Yes,No,No,Facing west,1 to 4,4,4,2,4,1,4,2,1,2,4,1,1,3,No,No,No,No,No,No,Yes,4,All day,Typing,2,2,3,Male
13955483,A,Personal workspace,Enclosed Office_2,Yes,1,Yes,Yes,Yes,Yes,No,No,Facing south (or southeast or southwest),10 or above,4,4,3,3,0,4,2,1,3,3,3,2,3,No,Yes,No,No,No,No,No,4,All day,Typing,1,1,3,Female
13957165,A,Personal workspace,Open Office_1,Yes,4,Yes,Yes,Yes,Yes,No,No,I don’t know,5 to 9,4,4,3,2,1,4,2,2,3,3,1,2,5,No,No,No,No,No,No,Yes,4,All day,Writing,2,1,2,Male
13957878,A,Personal workspace,Open Office_2,Yes,4,No,No,No,Yes,No,Yes,I don’t know,10 or above,3,1,1,5,5,1,3,3,5,5,5,3,3,No,No,No,No,No,No,Yes,2,All day,Typing,2,2,,Female
13953969,A,Personal workspace,Open Office_1,Yes,4,Yes,Yes,No,Yes,No,No,Facing north (or northeast or northwest),5 to 9,4,2,5,1,3,3,5,4,2,,1,3,3,No,No,No,No,No,No,Yes,4,Mixed (some combination of morning/afternoon/evenings),Typing,1,1,2,Female
13954069,A,Personal workspace,Enclosed Office_1,No,4,Yes,Yes,No,Yes,No,No,Facing north (or northeast or northwest),10 or above,5,2,1,4,0,2,1,2,2,2,3,3,3,No,Yes,Yes,No,No,No,No,3,All day,Typing,3,1,4,Female
13955058,A,Personal workspace,Open Office_2,Yes,2,Yes,No,No,Yes,No,No,Facing east,10 or above,3,2,2,5,1,2,2,3,3,4,1,3,2,No,No,No,No,No,No,Yes,3,All day,Typing,2,1,5,Male
13956989,A,Personal workspace,Open Office_1,Yes,3,Yes,Yes,No,Yes,No,No,Facing south (or southeast or southwest),1 to 4,5,3,1,4,1,3,1,1,4,3,1,1,2,No,No,No,No,No,No,Yes,4,All day,"Reading, seated",2,2,4,Male
